NodeName,MessageSize,TotalTime,AverageTimePerExchange
Berks-MBP.attlocal.net,2,0.001578,0.000016
Berks-MBP.attlocal.net,4,0.000055,0.000001
Berks-MBP.attlocal.net,8,0.000045,0.000000
Berks-MBP.attlocal.net,16,0.000051,0.000001
Berks-MBP.attlocal.net,32,0.000051,0.000001
Berks-MBP.attlocal.net,64,0.000053,0.000001
Berks-MBP.attlocal.net,128,0.000062,0.000001
Berks-MBP.attlocal.net,256,0.000076,0.000001
Berks-MBP.attlocal.net,512,0.000165,0.000002
Berks-MBP.attlocal.net,1024,0.000189,0.000002
Berks-MBP.attlocal.net,2048,0.000231,0.000002
Berks-MBP.attlocal.net,4096,0.000430,0.000004
