Rank,Node,MessageSize,AverageTimePerExchange
0,Berks-MacBook-Pro.local,2,0.000042
0,Berks-MacBook-Pro.local,4,0.000000
0,Berks-MacBook-Pro.local,8,0.000000
0,Berks-MacBook-Pro.local,16,0.000000
0,Berks-MacBook-Pro.local,32,0.000000
0,Berks-MacBook-Pro.local,64,0.000000
0,Berks-MacBook-Pro.local,128,0.000001
0,Berks-MacBook-Pro.local,256,0.000001
0,Berks-MacBook-Pro.local,512,0.000001
0,Berks-MacBook-Pro.local,1024,0.000002
0,Berks-MacBook-Pro.local,2048,0.000002
0,Berks-MacBook-Pro.local,4096,0.000003
1,Berks-MacBook-Pro.local,2,0.000042
1,Berks-MacBook-Pro.local,4,0.000000
1,Berks-MacBook-Pro.local,8,0.000000
1,Berks-MacBook-Pro.local,16,0.000000
1,Berks-MacBook-Pro.local,32,0.000000
1,Berks-MacBook-Pro.local,64,0.000000
1,Berks-MacBook-Pro.local,128,0.000001
1,Berks-MacBook-Pro.local,256,0.000001
1,Berks-MacBook-Pro.local,512,0.000001
1,Berks-MacBook-Pro.local,1024,0.000002
1,Berks-MacBook-Pro.local,2048,0.000002
1,Berks-MacBook-Pro.local,4096,0.000004
2,Berks-MacBook-Pro.local,2,0.000042
2,Berks-MacBook-Pro.local,4,0.000000
2,Berks-MacBook-Pro.local,8,0.000000
2,Berks-MacBook-Pro.local,16,0.000000
2,Berks-MacBook-Pro.local,32,0.000000
2,Berks-MacBook-Pro.local,64,0.000000
2,Berks-MacBook-Pro.local,128,0.000001
2,Berks-MacBook-Pro.local,256,0.000001
2,Berks-MacBook-Pro.local,512,0.000001
2,Berks-MacBook-Pro.local,1024,0.000002
2,Berks-MacBook-Pro.local,2048,0.000002
2,Berks-MacBook-Pro.local,4096,0.000004
3,Berks-MacBook-Pro.local,2,0.000040
3,Berks-MacBook-Pro.local,4,0.000000
3,Berks-MacBook-Pro.local,8,0.000000
3,Berks-MacBook-Pro.local,16,0.000000
3,Berks-MacBook-Pro.local,32,0.000000
3,Berks-MacBook-Pro.local,64,0.000000
3,Berks-MacBook-Pro.local,128,0.000001
3,Berks-MacBook-Pro.local,256,0.000001
3,Berks-MacBook-Pro.local,512,0.000002
3,Berks-MacBook-Pro.local,1024,0.000002
3,Berks-MacBook-Pro.local,2048,0.000002
3,Berks-MacBook-Pro.local,4096,0.000004
4,Berks-MacBook-Pro.local,2,0.000037
4,Berks-MacBook-Pro.local,4,0.000000
4,Berks-MacBook-Pro.local,8,0.000000
4,Berks-MacBook-Pro.local,16,0.000000
4,Berks-MacBook-Pro.local,32,0.000000
4,Berks-MacBook-Pro.local,64,0.000000
4,Berks-MacBook-Pro.local,128,0.000001
4,Berks-MacBook-Pro.local,256,0.000001
4,Berks-MacBook-Pro.local,512,0.000001
4,Berks-MacBook-Pro.local,1024,0.000002
4,Berks-MacBook-Pro.local,2048,0.000002
4,Berks-MacBook-Pro.local,4096,0.000004
5,Berks-MacBook-Pro.local,2,0.000041
5,Berks-MacBook-Pro.local,4,0.000000
5,Berks-MacBook-Pro.local,8,0.000000
5,Berks-MacBook-Pro.local,16,0.000000
5,Berks-MacBook-Pro.local,32,0.000000
5,Berks-MacBook-Pro.local,64,0.000000
5,Berks-MacBook-Pro.local,128,0.000001
5,Berks-MacBook-Pro.local,256,0.000001
5,Berks-MacBook-Pro.local,512,0.000001
5,Berks-MacBook-Pro.local,1024,0.000002
5,Berks-MacBook-Pro.local,2048,0.000002
5,Berks-MacBook-Pro.local,4096,0.000003
6,Berks-MacBook-Pro.local,2,0.000042
6,Berks-MacBook-Pro.local,4,0.000000
6,Berks-MacBook-Pro.local,8,0.000000
6,Berks-MacBook-Pro.local,16,0.000000
6,Berks-MacBook-Pro.local,32,0.000000
6,Berks-MacBook-Pro.local,64,0.000000
6,Berks-MacBook-Pro.local,128,0.000001
6,Berks-MacBook-Pro.local,256,0.000001
6,Berks-MacBook-Pro.local,512,0.000001
6,Berks-MacBook-Pro.local,1024,0.000002
6,Berks-MacBook-Pro.local,2048,0.000002
6,Berks-MacBook-Pro.local,4096,0.000003
7,Berks-MacBook-Pro.local,2,0.000042
7,Berks-MacBook-Pro.local,4,0.000000
7,Berks-MacBook-Pro.local,8,0.000000
7,Berks-MacBook-Pro.local,16,0.000000
7,Berks-MacBook-Pro.local,32,0.000000
7,Berks-MacBook-Pro.local,64,0.000000
7,Berks-MacBook-Pro.local,128,0.000001
7,Berks-MacBook-Pro.local,256,0.000001
7,Berks-MacBook-Pro.local,512,0.000001
7,Berks-MacBook-Pro.local,1024,0.000002
7,Berks-MacBook-Pro.local,2048,0.000002
7,Berks-MacBook-Pro.local,4096,0.000003
8,Berks-MacBook-Pro.local,2,0.000042
8,Berks-MacBook-Pro.local,4,0.000000
8,Berks-MacBook-Pro.local,8,0.000000
8,Berks-MacBook-Pro.local,16,0.000000
8,Berks-MacBook-Pro.local,32,0.000000
8,Berks-MacBook-Pro.local,64,0.000000
8,Berks-MacBook-Pro.local,128,0.000001
8,Berks-MacBook-Pro.local,256,0.000001
8,Berks-MacBook-Pro.local,512,0.000001
8,Berks-MacBook-Pro.local,1024,0.000002
8,Berks-MacBook-Pro.local,2048,0.000002
8,Berks-MacBook-Pro.local,4096,0.000003
9,Berks-MacBook-Pro.local,2,0.000041
9,Berks-MacBook-Pro.local,4,0.000000
9,Berks-MacBook-Pro.local,8,0.000000
9,Berks-MacBook-Pro.local,16,0.000000
9,Berks-MacBook-Pro.local,32,0.000000
9,Berks-MacBook-Pro.local,64,0.000000
9,Berks-MacBook-Pro.local,128,0.000001
9,Berks-MacBook-Pro.local,256,0.000001
9,Berks-MacBook-Pro.local,512,0.000001
9,Berks-MacBook-Pro.local,1024,0.000002
9,Berks-MacBook-Pro.local,2048,0.000002
9,Berks-MacBook-Pro.local,4096,0.000003
