Rank,Node,MessageSize,AverageTimePerExchange
17,nvf-004,32,0.000000
17,nvf-004,64,0.000000
17,nvf-004,128,0.000007
17,nvf-004,256,0.000001
17,nvf-004,512,0.000002
17,nvf-004,1024,0.000001
17,nvf-004,2048,0.000001
17,nvf-004,4096,0.000004
18,nvf-004,2,0.000003
18,nvf-004,4,0.000013
18,nvf-004,8,0.000000
18,nvf-004,16,0.000021
18,nvf-004,32,0.000000
18,nvf-004,64,0.000000
18,nvf-004,128,0.000007
18,nvf-004,256,0.000002
18,nvf-004,512,0.000001
18,nvf-004,1024,0.000001
18,nvf-004,2048,0.000002
18,nvf-004,4096,0.000006
19,nvf-004,2,0.000003
19,nvf-004,4,0.000012
19,nvf-004,8,0.000000
19,nvf-004,16,0.000021
19,nvf-004,32,0.000000
19,nvf-004,64,0.000000
19,nvf-004,128,0.000007
19,nvf-004,256,0.000002
19,nvf-004,512,0.000001
19,nvf-004,1024,0.000002
19,nvf-004,2048,0.000002
19,nvf-004,4096,0.000005
20,nvf-004,2,0.000003
20,nvf-004,4,0.000014
20,nvf-004,8,0.000000
20,nvf-004,16,0.000020
20,nvf-004,32,0.000000
20,nvf-004,64,0.000000
20,nvf-004,128,0.000001
20,nvf-004,256,0.000007
20,nvf-004,512,0.000003
20,nvf-004,1024,0.000003
20,nvf-004,2048,0.000001
20,nvf-004,4096,0.000005
21,nvf-004,2,0.000003
21,nvf-004,4,0.000013
21,nvf-004,8,0.000000
21,nvf-004,16,0.000010
21,nvf-004,32,0.000010
21,nvf-004,64,0.000001
21,nvf-004,128,0.000009
21,nvf-004,256,0.000001
21,nvf-004,512,0.000002
21,nvf-004,1024,0.000001
21,nvf-004,2048,0.000002
21,nvf-004,4096,0.000005
22,nvf-004,2,0.000003
22,nvf-004,4,0.000013
22,nvf-004,8,0.000001
22,nvf-004,16,0.000014
22,nvf-004,32,0.000007
22,nvf-004,64,0.000001
22,nvf-004,128,0.000008
22,nvf-004,256,0.000001
22,nvf-004,512,0.000002
22,nvf-004,1024,0.000001
22,nvf-004,2048,0.000002
22,nvf-004,4096,0.000005
23,nvf-004,2,0.000002
23,nvf-004,4,0.000013
23,nvf-004,8,0.000000
23,nvf-004,16,0.000021
23,nvf-004,32,0.000000
23,nvf-004,64,0.000001
23,nvf-004,128,0.000008
23,nvf-004,256,0.000001
23,nvf-004,512,0.000003
23,nvf-004,1024,0.000001
23,nvf-004,2048,0.000003
23,nvf-004,4096,0.000005
24,nvf-004,2,0.000003
24,nvf-004,4,0.000014
24,nvf-004,8,0.000000
24,nvf-004,16,0.000021
24,nvf-004,32,0.000000
24,nvf-004,64,0.000000
24,nvf-004,128,0.000008
24,nvf-004,256,0.000001
24,nvf-004,512,0.000003
24,nvf-004,1024,0.000003
24,nvf-004,2048,0.000001
24,nvf-004,4096,0.000005
25,nvf-004,2,0.000003
25,nvf-004,4,0.000013
25,nvf-004,8,0.000000
25,nvf-004,16,0.000018
25,nvf-004,32,0.000003
25,nvf-004,64,0.000001
25,nvf-004,128,0.000009
25,nvf-004,256,0.000002
25,nvf-004,512,0.000001
25,nvf-004,1024,0.000001
