Rank,Node,MessageSize,AverageTimePerExchange
17,nvf-004,32,0.000005
17,nvf-004,64,0.000004
17,nvf-004,128,0.000006
17,nvf-004,256,0.000005
17,nvf-004,512,0.000006
17,nvf-004,1024,0.000010
17,nvf-004,2048,0.000019
17,nvf-004,4096,0.000043
18,nvf-004,2,0.000311
18,nvf-004,4,0.000005
18,nvf-004,8,0.000003
18,nvf-004,16,0.000004
18,nvf-004,32,0.000005
18,nvf-004,64,0.000004
18,nvf-004,128,0.000006
18,nvf-004,256,0.000005
18,nvf-004,512,0.000006
18,nvf-004,1024,0.000010
18,nvf-004,2048,0.000018
18,nvf-004,4096,0.000044
19,nvf-004,2,0.000311
19,nvf-004,4,0.000005
19,nvf-004,8,0.000003
19,nvf-004,16,0.000004
19,nvf-004,32,0.000005
19,nvf-004,64,0.000004
19,nvf-004,128,0.000006
19,nvf-004,256,0.000005
19,nvf-004,512,0.000006
19,nvf-004,1024,0.000009
19,nvf-004,2048,0.000019
19,nvf-004,4096,0.000043
20,nvf-004,2,0.000311
20,nvf-004,4,0.000004
20,nvf-004,8,0.000004
20,nvf-004,16,0.000004
20,nvf-004,32,0.000005
20,nvf-004,64,0.000004
20,nvf-004,128,0.000006
20,nvf-004,256,0.000005
20,nvf-004,512,0.000006
20,nvf-004,1024,0.000009
20,nvf-004,2048,0.000019
20,nvf-004,4096,0.000043
21,nvf-004,2,0.000311
21,nvf-004,4,0.000004
21,nvf-004,8,0.000004
21,nvf-004,16,0.000004
21,nvf-004,32,0.000005
21,nvf-004,64,0.000004
21,nvf-004,128,0.000005
21,nvf-004,256,0.000005
21,nvf-004,512,0.000006
21,nvf-004,1024,0.000009
21,nvf-004,2048,0.000018
21,nvf-004,4096,0.000041
22,nvf-004,2,0.000311
22,nvf-004,4,0.000004
22,nvf-004,8,0.000004
22,nvf-004,16,0.000004
22,nvf-004,32,0.000005
22,nvf-004,64,0.000005
22,nvf-004,128,0.000005
22,nvf-004,256,0.000005
22,nvf-004,512,0.000006
22,nvf-004,1024,0.000009
22,nvf-004,2048,0.000018
22,nvf-004,4096,0.000040
23,nvf-004,2,0.000310
23,nvf-004,4,0.000004
23,nvf-004,8,0.000004
23,nvf-004,16,0.000004
23,nvf-004,32,0.000004
23,nvf-004,64,0.000005
23,nvf-004,128,0.000005
23,nvf-004,256,0.000005
23,nvf-004,512,0.000006
23,nvf-004,1024,0.000009
23,nvf-004,2048,0.000018
23,nvf-004,4096,0.000040
24,nvf-004,2,0.000310
24,nvf-004,4,0.000004
24,nvf-004,8,0.000004
24,nvf-004,16,0.000004
24,nvf-004,32,0.000004
24,nvf-004,64,0.000005
24,nvf-004,128,0.000005
24,nvf-004,256,0.000005
24,nvf-004,512,0.000006
24,nvf-004,1024,0.000009
24,nvf-004,2048,0.000018
24,nvf-004,4096,0.000040
25,nvf-004,2,0.000311
25,nvf-004,4,0.000004
25,nvf-004,8,0.000004
25,nvf-004,16,0.000004
25,nvf-004,32,0.000004
25,nvf-004,64,0.000005
25,nvf-004,128,0.000005
25,nvf-004,256,0.000005
25,nvf-004,512,0.000006
25,nvf-004,1024,0.000009
25,nvf-004,2048,0.000018
25,nvf-004,4096,0.000040
26,nvf-004,2,0.000310
26,nvf-004,4,0.000004
26,nvf-004,8,0.000004
26,nvf-004,16,0.000004
26,nvf-004,32,0.000004
26,nvf-004,64,0.000005
26,nvf-004,128,0.000006
26,nvf-004,256,0.000005
26,nvf-004,512,0.000006
26,nvf-004,1024,0.000009
26,nvf-004,2048,0.000018
26,nvf-004,4096,0.000040
27,nvf-004,2,0.000310
27,nvf-004,4,0.000004
27,nvf-004,8,0.000004
27,nvf-004,16,0.000003
27,nvf-004,32,0.000005
27,nvf-004,64,0.000005
27,nvf-004,128,0.000006
27,nvf-004,256,0.000005
27,nvf-004,512,0.000006
27,nvf-004,1024,0.000009
27,nvf-004,2048,0.000018
27,nvf-004,4096,0.000039
28,nvf-004,2,0.000311
28,nvf-004,4,0.000004
28,nvf-004,8,0.000004
28,nvf-004,16,0.000003
28,nvf-004,32,0.000005
28,nvf-004,64,0.000005
28,nvf-004,128,0.000006
28,nvf-004,256,0.000005
28,nvf-004,512,0.000006
28,nvf-004,1024,0.000009
28,nvf-004,2048,0.000018
28,nvf-004,4096,0.000039
29,nvf-004,2,0.000310
29,nvf-004,4,0.000004
29,nvf-004,8,0.000004
29,nvf-004,16,0.000003
29,nvf-004,32,0.000005
29,nvf-004,64,0.000005
29,nvf-004,128,0.000006
29,nvf-004,256,0.000004
29,nvf-004,512,0.000006
29,nvf-004,1024,0.000009
29,nvf-004,2048,0.000018
29,nvf-004,4096,0.000039
30,nvf-004,2,0.000310
30,nvf-004,4,0.000004
30,nvf-004,8,0.000004
30,nvf-004,16,0.000004
30,nvf-004,32,0.000005
30,nvf-004,64,0.000005
30,nvf-004,128,0.000006
30,nvf-004,256,0.000004
30,nvf-004,512,0.000006
30,nvf-004,1024,0.000009
30,nvf-004,2048,0.000017
30,nvf-004,4096,0.000037
31,nvf-004,2,0.000310
31,nvf-004,4,0.000004
31,nvf-004,8,0.000004
31,nvf-004,16,0.000004
31,nvf-004,32,0.000004
31,nvf-004,64,0.000005
31,nvf-004,128,0.000006
31,nvf-004,256,0.000005
31,nvf-004,512,0.000006
31,nvf-004,1024,0.000009
31,nvf-004,2048,0.000017
31,nvf-004,4096,0.000037
32,nvf-005,2,0.000310
32,nvf-005,4,0.000004
32,nvf-005,8,0.000004
32,nvf-005,16,0.000003
32,nvf-005,32,0.000004
32,nvf-005,64,0.000005
32,nvf-005,128,0.000007
32,nvf-005,256,0.000005
32,nvf-005,512,0.000006
32,nvf-005,1024,0.000011
32,nvf-005,2048,0.000023
32,nvf-005,4096,0.000038
33,nvf-005,2,0.000310
33,nvf-005,4,0.000004
33,nvf-005,8,0.000004
33,nvf-005,16,0.000003
33,nvf-005,32,0.000004
33,nvf-005,64,0.000005
33,nvf-005,128,0.000007
33,nvf-005,256,0.000005
33,nvf-005,512,0.000006
33,nvf-005,1024,0.000011
33,nvf-005,2048,0.000023
33,nvf-005,4096,0.000038
34,nvf-005,2,0.000310
34,nvf-005,4,0.000004
34,nvf-005,8,0.000004
34,nvf-005,16,0.000003
34,nvf-005,32,0.000004
34,nvf-005,64,0.000005
34,nvf-005,128,0.000007
34,nvf-005,256,0.000005
34,nvf-005,512,0.000006
34,nvf-005,1024,0.000011
34,nvf-005,2048,0.000023
34,nvf-005,4096,0.000038
35,nvf-005,2,0.000310
35,nvf-005,4,0.000004
35,nvf-005,8,0.000004
35,nvf-005,16,0.000003
35,nvf-005,32,0.000004
35,nvf-005,64,0.000005
35,nvf-005,128,0.000007
35,nvf-005,256,0.000005
35,nvf-005,512,0.000006
35,nvf-005,1024,0.000011
35,nvf-005,2048,0.000023
35,nvf-005,4096,0.000038
36,nvf-005,2,0.000310
36,nvf-005,4,0.000004
36,nvf-005,8,0.000004
36,nvf-005,16,0.000003
36,nvf-005,32,0.000004
36,nvf-005,64,0.000005
36,nvf-005,128,0.000006
36,nvf-005,256,0.000005
36,nvf-005,512,0.000006
36,nvf-005,1024,0.000011
36,nvf-005,2048,0.000023
36,nvf-005,4096,0.000038
37,nvf-005,2,0.000309
37,nvf-005,4,0.000004
37,nvf-005,8,0.000004
37,nvf-005,16,0.000003
37,nvf-005,32,0.000004
37,nvf-005,64,0.000005
37,nvf-005,128,0.000006
37,nvf-005,256,0.000005
37,nvf-005,512,0.000006
37,nvf-005,1024,0.000011
37,nvf-005,2048,0.000023
37,nvf-005,4096,0.000038
38,nvf-005,2,0.000309
38,nvf-005,4,0.000004
38,nvf-005,8,0.000004
38,nvf-005,16,0.000003
38,nvf-005,32,0.000004
38,nvf-005,64,0.000005
38,nvf-005,128,0.000006
38,nvf-005,256,0.000005
38,nvf-005,512,0.000006
38,nvf-005,1024,0.000011
38,nvf-005,2048,0.000023
38,nvf-005,4096,0.000039
39,nvf-005,2,0.000309
39,nvf-005,4,0.000004
39,nvf-005,8,0.000004
39,nvf-005,16,0.000003
39,nvf-005,32,0.000004
39,nvf-005,64,0.000005
39,nvf-005,128,0.000006
39,nvf-005,256,0.000005
39,nvf-005,512,0.000006
39,nvf-005,1024,0.000011
39,nvf-005,2048,0.000023
39,nvf-005,4096,0.000039
40,nvf-005,2,0.000309
40,nvf-005,4,0.000004
40,nvf-005,8,0.000004
40,nvf-005,16,0.000003
40,nvf-005,32,0.000004
40,nvf-005,64,0.000005
40,nvf-005,128,0.000006
40,nvf-005,256,0.000005
40,nvf-005,512,0.000006
40,nvf-005,1024,0.000011
40,nvf-005,2048,0.000023
40,nvf-005,4096,0.000039
41,nvf-005,2,0.000309
41,nvf-005,4,0.000004
41,nvf-005,8,0.000004
41,nvf-005,16,0.000003
41,nvf-005,32,0.000004
41,nvf-005,64,0.000005
41,nvf-005,128,0.000006
41,nvf-005,256,0.000005
41,nvf-005,512,0.000006
41,nvf-005,1024,0.000011
41,nvf-005,2048,0.000023
41,nvf-005,4096,0.000039
42,nvf-005,2,0.000309
42,nvf-005,4,0.000004
42,nvf-005,8,0.000004
42,nvf-005,16,0.000003
42,nvf-005,32,0.000004
42,nvf-005,64,0.000005
42,nvf-005,128,0.000006
42,nvf-005,256,0.000005
42,nvf-005,512,0.000006
42,nvf-005,1024,0.000011
42,nvf-005,2048,0.000023
42,nvf-005,4096,0.000039
43,nvf-005,2,0.000309
43,nvf-005,4,0.000004
43,nvf-005,8,0.000004
43,nvf-005,16,0.000004
43,nvf-005,32,0.000004
43,nvf-005,64,0.000005
43,nvf-005,128,0.000006
43,nvf-005,256,0.000005
43,nvf-005,512,0.000006
43,nvf-005,1024,0.000011
43,nvf-005,2048,0.000022
43,nvf-005,4096,0.000036
44,nvf-005,2,0.000309
44,nvf-005,4,0.000004
44,nvf-005,8,0.000004
44,nvf-005,16,0.000004
44,nvf-005,32,0.000004
44,nvf-005,64,0.000005
44,nvf-005,128,0.000006
44,nvf-005,256,0.000006
44,nvf-005,512,0.000006
44,nvf-005,1024,0.000011
44,nvf-005,2048,0.000022
44,nvf-005,4096,0.000035
45,nvf-005,2,0.000309
45,nvf-005,4,0.000004
45,nvf-005,8,0.000004
45,nvf-005,16,0.000004
45,nvf-005,32,0.000004
45,nvf-005,64,0.000005
45,nvf-005,128,0.000006
45,nvf-005,256,0.000006
45,nvf-005,512,0.000005
45,nvf-005,1024,0.000010
45,nvf-005,2048,0.000022
45,nvf-005,4096,0.000036
46,nvf-005,2,0.000309
46,nvf-005,4,0.000004
46,nvf-005,8,0.000004
46,nvf-005,16,0.000004
46,nvf-005,32,0.000004
46,nvf-005,64,0.000006
46,nvf-005,128,0.000006
46,nvf-005,256,0.000005
46,nvf-005,512,0.000006
46,nvf-005,1024,0.000010
46,nvf-005,2048,0.000022
46,nvf-005,4096,0.000036
47,nvf-005,2,0.000309
47,nvf-005,4,0.000004
47,nvf-005,8,0.000004
47,nvf-005,16,0.000004
47,nvf-005,32,0.000004
47,nvf-005,64,0.000006
47,nvf-005,128,0.000006
47,nvf-005,256,0.000005
47,nvf-005,512,0.000006
47,nvf-005,1024,0.000010
47,nvf-005,2048,0.000022
47,nvf-005,4096,0.000037
48,nvf-005,2,0.000309
48,nvf-005,4,0.000004
48,nvf-005,8,0.000004
48,nvf-005,16,0.000004
48,nvf-005,32,0.000004
48,nvf-005,64,0.000006
48,nvf-005,128,0.000006
48,nvf-005,256,0.000005
48,nvf-005,512,0.000006
48,nvf-005,1024,0.000010
48,nvf-005,2048,0.000022
48,nvf-005,4096,0.000036
49,nvf-005,2,0.000309
49,nvf-005,4,0.000004
49,nvf-005,8,0.000004
49,nvf-005,16,0.000004
49,nvf-005,32,0.000004
49,nvf-005,64,0.000006
49,nvf-005,128,0.000006
49,nvf-005,256,0.000005
49,nvf-005,512,0.000006
49,nvf-005,1024,0.000011
49,nvf-005,2048,0.000022
49,nvf-005,4096,0.000036
50,nvf-005,2,0.000309
50,nvf-005,4,0.000004
50,nvf-005,8,0.000004
50,nvf-005,16,0.000004
50,nvf-005,32,0.000004
50,nvf-005,64,0.000005
50,nvf-005,128,0.000006
50,nvf-005,256,0.000006
50,nvf-005,512,0.000006
50,nvf-005,1024,0.000010
50,nvf-005,2048,0.000022
50,nvf-005,4096,0.000036
51,nvf-005,2,0.000309
51,nvf-005,4,0.000005
51,nvf-005,8,0.000004
51,nvf-005,16,0.000004
51,nvf-005,32,0.000004
51,nvf-005,64,0.000005
51,nvf-005,128,0.000005
51,nvf-005,256,0.000006
51,nvf-005,512,0.000006
51,nvf-005,1024,0.000010
51,nvf-005,2048,0.000022
51,nvf-005,4096,0.000036
52,nvf-005,2,0.000308
52,nvf-005,4,0.000005
52,nvf-005,8,0.000004
52,nvf-005,16,0.000004
52,nvf-005,32,0.000004
52,nvf-005,64,0.000005
52,nvf-005,128,0.000005
52,nvf-005,256,0.000007
52,nvf-005,512,0.000006
52,nvf-005,1024,0.000010
52,nvf-005,2048,0.000021
52,nvf-005,4096,0.000037
53,nvf-005,2,0.000309
53,nvf-005,4,0.000005
53,nvf-005,8,0.000004
53,nvf-005,16,0.000004
53,nvf-005,32,0.000004
53,nvf-005,64,0.000005
53,nvf-005,128,0.000005
53,nvf-005,256,0.000006
53,nvf-005,512,0.000006
53,nvf-005,1024,0.000010
53,nvf-005,2048,0.000021
53,nvf-005,4096,0.000038
54,nvf-005,2,0.000307
54,nvf-005,4,0.000006
54,nvf-005,8,0.000004
54,nvf-005,16,0.000004
54,nvf-005,32,0.000004
