Rank,Node,MessageSize,AverageTimePerExchange
0,Berks-MacBook-Pro.local,2,0.000007
0,Berks-MacBook-Pro.local,4,0.000034
0,Berks-MacBook-Pro.local,8,0.000000
0,Berks-MacBook-Pro.local,16,0.000031
0,Berks-MacBook-Pro.local,32,0.000001
0,Berks-MacBook-Pro.local,64,0.000000
0,Berks-MacBook-Pro.local,128,0.000000
0,Berks-MacBook-Pro.local,256,0.000008
0,Berks-MacBook-Pro.local,512,0.000001
0,Berks-MacBook-Pro.local,1024,0.000001
0,Berks-MacBook-Pro.local,2048,0.000001
0,Berks-MacBook-Pro.local,4096,0.000032
1,Berks-MacBook-Pro.local,2,0.000007
1,Berks-MacBook-Pro.local,4,0.000034
1,Berks-MacBook-Pro.local,8,0.000031
1,Berks-MacBook-Pro.local,16,0.000000
1,Berks-MacBook-Pro.local,32,0.000001
1,Berks-MacBook-Pro.local,64,0.000000
1,Berks-MacBook-Pro.local,128,0.000000
1,Berks-MacBook-Pro.local,256,0.000008
1,Berks-MacBook-Pro.local,512,0.000001
1,Berks-MacBook-Pro.local,1024,0.000001
1,Berks-MacBook-Pro.local,2048,0.000001
1,Berks-MacBook-Pro.local,4096,0.000040
2,Berks-MacBook-Pro.local,2,0.000008
2,Berks-MacBook-Pro.local,4,0.000035
2,Berks-MacBook-Pro.local,8,0.000030
2,Berks-MacBook-Pro.local,16,0.000000
2,Berks-MacBook-Pro.local,32,0.000000
2,Berks-MacBook-Pro.local,64,0.000000
2,Berks-MacBook-Pro.local,128,0.000036
2,Berks-MacBook-Pro.local,256,0.000013
2,Berks-MacBook-Pro.local,512,0.000000
2,Berks-MacBook-Pro.local,1024,0.000000
2,Berks-MacBook-Pro.local,2048,0.000001
2,Berks-MacBook-Pro.local,4096,0.000015
3,Berks-MacBook-Pro.local,2,0.000008
3,Berks-MacBook-Pro.local,4,0.000034
3,Berks-MacBook-Pro.local,8,0.000000
3,Berks-MacBook-Pro.local,16,0.000030
3,Berks-MacBook-Pro.local,32,0.000000
3,Berks-MacBook-Pro.local,64,0.000000
3,Berks-MacBook-Pro.local,128,0.000036
3,Berks-MacBook-Pro.local,256,0.000013
3,Berks-MacBook-Pro.local,512,0.000000
3,Berks-MacBook-Pro.local,1024,0.000001
3,Berks-MacBook-Pro.local,2048,0.000001
3,Berks-MacBook-Pro.local,4096,0.000015
4,Berks-MacBook-Pro.local,2,0.000007
4,Berks-MacBook-Pro.local,4,0.000001
4,Berks-MacBook-Pro.local,8,0.000034
4,Berks-MacBook-Pro.local,16,0.000000
4,Berks-MacBook-Pro.local,32,0.000030
4,Berks-MacBook-Pro.local,64,0.000000
4,Berks-MacBook-Pro.local,128,0.000036
4,Berks-MacBook-Pro.local,256,0.000013
4,Berks-MacBook-Pro.local,512,0.000011
4,Berks-MacBook-Pro.local,1024,0.000000
4,Berks-MacBook-Pro.local,2048,0.000000
4,Berks-MacBook-Pro.local,4096,0.000016
5,Berks-MacBook-Pro.local,2,0.000007
5,Berks-MacBook-Pro.local,4,0.000000
5,Berks-MacBook-Pro.local,8,0.000001
5,Berks-MacBook-Pro.local,16,0.000034
5,Berks-MacBook-Pro.local,32,0.000024
5,Berks-MacBook-Pro.local,64,0.000006
5,Berks-MacBook-Pro.local,128,0.000001
5,Berks-MacBook-Pro.local,256,0.000048
5,Berks-MacBook-Pro.local,512,0.000011
5,Berks-MacBook-Pro.local,1024,0.000000
5,Berks-MacBook-Pro.local,2048,0.000001
5,Berks-MacBook-Pro.local,4096,0.000016
6,Berks-MacBook-Pro.local,2,0.000008
6,Berks-MacBook-Pro.local,4,0.000000
6,Berks-MacBook-Pro.local,8,0.000000
6,Berks-MacBook-Pro.local,16,0.000001
6,Berks-MacBook-Pro.local,32,0.000034
6,Berks-MacBook-Pro.local,64,0.000024
6,Berks-MacBook-Pro.local,128,0.000006
6,Berks-MacBook-Pro.local,256,0.000037
6,Berks-MacBook-Pro.local,512,0.000023
6,Berks-MacBook-Pro.local,1024,0.000000
6,Berks-MacBook-Pro.local,2048,0.000001
6,Berks-MacBook-Pro.local,4096,0.000002
7,Berks-MacBook-Pro.local,2,0.000002
7,Berks-MacBook-Pro.local,4,0.000006
7,Berks-MacBook-Pro.local,8,0.000000
7,Berks-MacBook-Pro.local,16,0.000000
7,Berks-MacBook-Pro.local,32,0.000001
7,Berks-MacBook-Pro.local,64,0.000034
